Stations,Right Time,Slight Delay,Significant Delay,Cancelled/Unknown,Delay Average
DBRG,349,12,4,0,6.5
NTSK,304,55,6,0,11.5
MXN,174,163,28,0,22.8
FKG,10,5,1,349,21.8
DMV,183,153,29,0,24.8
DPU,98,122,28,117,30.6
LMG,114,195,56,0,36.5
CPK,82,206,77,0,43.4
GHY,139,178,48,0,34.1
RNY,160,155,50,0,31.2
NBQ,219,104,42,0,23.9
KOJ,163,148,54,0,33.1
NCB,72,218,75,0,41.1
NJP,204,115,46,0,28.2
KNE,196,118,51,0,31.4
KIR,278,50,37,0,19.2
NNA,238,83,44,0,27.4
MNE,158,160,47,0,33.6
BJU,64,229,72,0,46.3
PPTA,236,72,57,0,26.2
DNR,220,81,64,0,30.1
DDU,252,51,62,0,27.6
SFG,23,12,12,318,48.0
PRYJ,179,75,64,47,38.8
CNB,170,109,86,0,49.8
NDLS,222,50,93,0,62.4
